student_name,email,batch_code,course_content_rating,syllabus_structured,build_tools_rating,hibernate_rating,spring_rating,restapi_rating,react_rating,microservices_rating,testing_rating,instructor_explanation,pace_of_teaching,doubt_solving_support,instructor_approach,assignments_helpful,assignments_aligned,mini_projects_given,project_based_learning,tools_covered,fullstack_exposure,project_experience,confident_fullstack,job_readiness,needs_more_emphasis,liked_most,improvement_suggestions,additional_comments
Gail Johnson,jennifersimpson@hotmail.com,BC188,5,2,3,2,1,2,1,3,3,1,1,1,2,3,3,3,5,1,2,4,1,1,Space scene purpose on adult.,House tree common majority those drug.,Painting never any gun none.,Manage return article among.
Danielle Wood,walterjasmine@gmail.com,BC655,4,1,3,5,5,2,5,1,1,2,5,3,2,4,3,2,1,4,4,3,2,2,Play experience term quite.,Wrong PM name study beautiful later.,Sister station various development.,Foot page sing again health small.
Isaiah Lewis,diane44@hotmail.com,BC302,1,1,4,1,3,2,1,3,4,5,5,1,1,3,1,3,1,5,3,4,1,2,Car if his.,However brother personal purpose same.,Hospital lawyer from most success sure protect read.,How memory card stay hope whatever.
John Holmes,jenkinsjeff@hotmail.com,BC627,4,3,5,4,3,3,3,3,3,5,5,3,5,3,5,4,5,2,3,3,5,1,He Mrs need traditional including gas discover summer.,Former one yourself store.,Article determine enter many.,At challenge around fill any.
Dr. Amber Cox,rgibson@yahoo.com,BC928,3,1,5,5,3,1,1,1,5,5,2,1,2,3,4,1,2,1,1,1,2,4,Class stock help.,Top already listen a.,Develop give threat personal price only nearly.,Build son western.
William Morgan,nicole72@allen-small.com,BC488,2,5,1,3,1,2,4,5,1,4,5,2,1,2,4,2,1,2,4,5,4,1,Show baby matter loss true guy Republican.,Really civil every let himself traditional seven.,Speak deep back throw model cell finally.,However drive quality make fly around.
Justin Brown,anthony35@yahoo.com,BC689,3,4,4,1,2,5,3,1,4,4,3,1,5,4,5,1,4,2,1,4,5,2,Strong pressure health vote because produce.,Agent huge official affect green office edge approach.,Artist bring officer fill fire writer.,Within term too eight technology.
Allison Wells,orowland@gmail.com,BC374,4,4,5,3,1,2,5,2,5,4,5,4,5,1,1,2,1,1,1,3,4,4,Production building development few glass.,And various message each apply.,Network tax letter top recent.,Address social medical civil institution may idea.
Nathan Jackson,claudia63@lane.com,BC710,1,1,1,4,5,1,2,1,5,3,4,2,1,3,4,1,2,4,4,1,2,4,Month yet others fine character them town.,Sit activity training line.,Among board take Congress cup once.,Finish reduce believe age book company.
Matthew Cain,fwilson@yahoo.com,BC121,4,3,1,4,5,3,1,3,1,4,5,1,5,5,3,3,1,3,4,4,5,5,Entire well determine air cause.,Best statement right quality.,Article past always could response would check.,Rule last try.
Mrs. April Reed MD,jcastillo@gmail.com,BC648,4,2,3,5,4,1,4,1,4,4,1,5,2,1,4,4,5,1,5,1,1,3,Important eat floor.,These nor white listen indicate produce government director.,Campaign side start pay enough.,History present run water say walk.
Melody Sims,zramirez@gmail.com,BC201,4,2,1,2,4,1,1,4,1,1,1,3,3,4,2,2,1,4,2,2,1,1,They book body concern indeed respond wish.,Still clearly stand policy.,Second letter figure matter person development large.,Student make painting quite only toward.
Jonathan Hicks,tstevens@yahoo.com,BC847,3,4,2,1,5,3,5,3,3,1,1,5,4,3,4,3,1,5,4,2,3,3,No behavior well political stuff floor third.,Better cut claim theory little.,Moment owner read.,Sell bit arm with hear technology reason continue.
Gregory Sandoval,collinsgregory@crawford.com,BC229,1,5,2,1,4,3,5,1,5,5,5,3,3,4,4,3,1,1,1,2,3,3,Difficult occur mother.,Other speech factor positive case campaign.,Someone how note Democrat.,Meet his there development.
Ashley Davidson,stevesmith@best.net,BC282,2,5,1,4,5,3,3,5,2,3,1,2,4,5,2,3,4,1,4,3,2,2,Everything performance step amount car social serve discover.,Weight idea including word.,Not all ten religious central development create.,Specific rock whatever run road.
John Anderson,jennifer78@yahoo.com,BC999,1,5,4,4,5,3,4,1,2,2,4,1,4,1,4,2,3,2,4,1,1,1,Modern off himself education ball by window.,Member situation laugh guy threat economy.,Hospital inside father memory especially talk old operation.,Skin now foreign from bank year.
Alexander Carter,donnasmith@greene-johns.com,BC965,2,1,5,3,3,4,3,5,5,1,3,5,4,2,2,3,4,4,3,5,2,2,Could cup system.,Picture marriage better.,Half while glass key data material manage.,Capital person education buy generation.
Dana Stewart,craignatasha@gmail.com,BC411,5,5,3,1,2,2,1,5,1,4,3,3,2,2,5,3,5,5,3,1,2,5,Take term us remember.,Movie give various be check film.,Decade sure story discover.,Race summer event letter somebody fight.
William Stevens,calhounwilliam@green-lewis.com,BC581,2,1,5,2,5,1,2,1,3,1,4,3,3,4,2,3,2,1,1,3,2,5,Technology unit effect their drug.,Ball carry book.,Treatment religious its seven feel program.,Occur minute skill who.
Grant Flores,tmiller@collier.com,BC947,3,1,2,4,5,1,4,4,1,4,4,5,3,1,3,1,5,4,3,1,4,1,Once cover simply something minute.,Left event music support world.,Lose billion something government.,Debate back statement.
